"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",33.960837,175.866393,1,175.866393,175.866393,175.866393,"[CUDA memcpy HtoD]"
"GPU activities",7.670212,39.720238,6,6.620039,6.461610,7.139201,"row_sums__one_block_per_row__warp_aware"
"GPU activities",7.541566,39.054041,6,6.509006,6.427115,6.794758,"row_sums__one_block_per_row"
"GPU activities",7.327205,37.943975,6,6.323995,6.314668,6.336908,"row_sums__one_block_per_chunked_rows__write_buffer"
"GPU activities",7.319308,37.903078,6,6.317179,6.302412,6.336843,"row_sums__one_block_per_chunked_rows"
"GPU activities",7.298595,37.795817,6,6.299302,6.275821,6.326828,"row_sums__one_block_per_row_strided__warp_aware"
"GPU activities",7.295301,37.778760,6,6.296460,6.286988,6.306412,"row_sums__one_block_per_row_strided"
"GPU activities",7.263682,37.615019,6,6.269169,6.253037,6.279500,"row_sums__one_block_per_chunked_rows__warp_aware"
"GPU activities",7.222071,37.399535,6,6.233255,6.214542,6.253453,"row_sums__one_block_per_chunked_rows__warp_aware__write_buffer"
"GPU activities",7.031304,36.411646,6,6.068607,6.056112,6.094575,"column_sums"
"GPU activities",0.050454,0.261277,54,0.004838,0.004607,0.008543,"[CUDA memset]"
"GPU activities",0.019465,0.100800,9,0.011200,0.010400,0.016704,"[CUDA memcpy DtoH]"
"API calls",47.080619,288.474656,9,32.052739,30.826686,33.213437,"cudaDeviceSynchronize"
"API calls",38.044988,233.111102,10,23.311110,6.091264,175.905284,"cudaMemcpy"
"API calls",14.664902,89.855499,2,44.927749,0.072705,89.782794,"cudaMalloc"
"API calls",0.079572,0.487557,54,0.009028,0.006426,0.035340,"cudaLaunchKernel"
"API calls",0.052080,0.319106,54,0.005909,0.005028,0.016902,"cudaMemset"
"API calls",0.045969,0.281663,114,0.002470,0.000977,0.069422,"cuDeviceGetAttribute"
"API calls",0.021361,0.130882,1,0.130882,0.130882,0.130882,"cuLibraryLoadData"
"API calls",0.003898,0.023886,20,0.001194,0.000768,0.001607,"cudaGetLastError"
"API calls",0.002371,0.014527,1,0.014527,0.014527,0.014527,"cuDeviceGetName"
"API calls",0.001584,0.009708,1,0.009708,0.009708,0.009708,"cuDeviceGetPCIBusId"
"API calls",0.000798,0.004890,2,0.002445,0.001537,0.003353,"cudaDeviceGetAttribute"
"API calls",0.000707,0.004330,3,0.001443,0.001257,0.001816,"cuDeviceGetCount"
"API calls",0.000444,0.002723,2,0.001361,0.001187,0.001536,"cuDeviceGet"
"API calls",0.000262,0.001607,1,0.001607,0.001607,0.001607,"cuDeviceTotalMem"
"API calls",0.000228,0.001396,1,0.001396,0.001396,0.001396,"cuModuleGetLoadingMode"
"API calls",0.000217,0.001327,1,0.001327,0.001327,0.001327,"cuDeviceGetUuid"
